date,open,close,high,low,volume,amount
2024-12-04,2237.65,2213.41,2246.04,2204.39,289942124.0,459314971219.4
2024-12-05,2207.5,2221.46,2237.09,2207.5,270063838.0,440343428750.97
2024-12-06,2219.91,2267.06,2289.81,2213.32,315853926.0,509916084535.53
2024-12-09,2265.19,2248.63,2273.08,2229.51,275288754.0,441668691858.62
2024-12-10,2358.29,2264.05,2358.49,2258.02,368365343.0,633302801446.92
2024-12-11,2260.7,2261.58,2278.79,2251.35,294926754.0,488392484586.13
2024-12-12,2257.31,2292.15,2302.64,2256.07,308420591.0,510495451011.38
2024-12-13,2272.27,2235.26,2276.13,2234.17,328537971.0,561357989318.59
2024-12-16,2232.62,2201.53,2234.19,2192.25,273787934.0,450274741041.91
2024-12-17,2197.13,2201.18,2233.17,2197.13,248753481.0,397265265014.27
2024-12-18,2207.18,2202.14,2216.0,2192.6,216481476.0,354895982597.8
2024-12-19,2178.46,2213.54,2220.43,2174.94,221719261.0,375784424939.35
2024-12-20,2209.38,2209.66,2234.13,2201.94,230049274.0,427247917560.18
2024-12-23,2205.69,2187.94,2223.64,2185.35,245538770.0,409610368907.76
2024-12-24,2190.47,2213.55,2215.19,2187.78,200966406.0,349402388357.77
2024-12-25,2215.61,2201.3,2216.36,2187.0,203868100.0,337460267678.8
2024-12-26,2200.32,2209.85,2219.69,2193.59,184436467.0,347293434638.28
2024-12-27,2209.71,2204.9,2235.56,2196.29,207513529.0,385898226139.63
2024-12-30,2198.86,2206.29,2218.74,2198.12,187201460.0,342205734093.04
2024-12-31,2202.18,2141.6,2207.31,2141.6,199428413.0,352199463928.64
2025-01-02,2136.92,2060.44,2137.65,2040.38,196587395.0,342439637001.25
2025-01-03,2062.4,2015.97,2067.41,2015.96,206064912.0,324932847993.63
2025-01-06,2018.25,2014.19,2033.27,2000.86,169375612.0,260608779679.82
2025-01-07,1996.0,2028.36,2028.75,1988.42,168570529.0,277786422805.01
2025-01-08,2011.75,2008.44,2029.02,1963.81,195527839.0,316548208016.32
2025-01-09,1994.81,2010.66,2025.31,1994.7,174244808.0,287453523404.68
2025-01-10,2006.55,1975.3,2024.43,1975.3,178384005.0,295340671109.33
2025-01-13,1953.89,1982.46,1998.5,1953.82,152288463.0,245669166830.44
2025-01-14,1989.39,2075.76,2076.96,1979.14,227021058.0,386165587102.57
2025-01-15,2064.48,2037.93,2064.48,2032.57,195449289.0,329023933373.78
2025-01-16,2051.09,2051.35,2084.23,2029.82,203899551.0,354789525123.57
2025-01-17,2041.71,2067.27,2083.2,2041.58,170885961.0,310265773405.47
2025-01-20,2090.14,2104.73,2118.74,2090.07,177274295.0,323976747068.17
2025-01-21,2125.07,2112.39,2125.07,2090.32,182508851.0,331501649828.59
2025-01-22,2103.83,2101.03,2110.9,2081.08,165662666.0,321487930518.86
2025-01-23,2125.3,2093.31,2151.48,2093.31,210268257.0,387834330079.38
2025-01-24,2084.13,2121.84,2131.55,2084.13,200051426.0,360783248474.43
2025-01-27,2119.17,2063.82,2123.15,2063.82,177520122.0,324013509607.65
2025-02-05,2082.99,2062.92,2083.01,2054.37,204368036.0,378666289294.99
2025-02-06,2059.45,2120.75,2120.79,2056.18,248973902.0,464949308895.32
2025-02-07,2127.14,2174.35,2200.1,2122.35,308397999.0,589808761151.7
2025-02-10,2183.78,2183.88,2188.13,2156.76,279950659.0,512227306833.98
2025-02-11,2182.91,2152.73,2182.91,2150.47,266477049.0,487815482425.6
2025-02-12,2144.73,2191.76,2194.1,2142.05,258849275.0,494031078864.87
2025-02-13,2186.14,2176.16,2203.64,2175.42,284591869.0,518915994554.68
2025-02-14,2176.32,2215.3,2223.39,2176.21,286996251.0,515645994563.77
2025-02-17,2243.66,2226.62,2245.37,2208.77,326355461.0,594941327620.99
2025-02-18,2223.48,2182.57,2231.28,2173.54,294210590.0,532993913374.63
2025-02-19,2174.96,2226.98,2228.48,2174.01,260631356.0,507339425588.72
2025-02-20,2222.37,2225.58,2233.98,2204.64,280378857.0,537322155811.05
2025-02-21,2228.92,2281.51,2284.04,2228.92,333039973.0,669308764691.68
2025-02-24,2277.15,2266.24,2283.79,2245.61,314290011.0,619405605772.5
2025-02-25,2227.29,2240.59,2265.91,2224.46,292711324.0,561872269832.94
